2025-11-02T11:30:56-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056669_b31db912.ndjson
2025-11-02T11:30:56-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056716_b9215314.ndjson
2025-11-02T11:30:56-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056765_29ea769b.ndjson
2025-11-02T11:30:56-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056813_d4b80a6e.ndjson
2025-11-02T11:30:56-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056861_4d717b89.ndjson
2025-11-02T11:30:56-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056909_52d6ce1c.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143056956_419fa211.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057004_4bb116bb.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057052_ccce8023.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057100_bb71bf4e.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057148_1c81c9e0.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057195_86f9c531.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057244_c2130db4.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057292_e550d66d.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057340_491e6dcf.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057389_8a95c8a3.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057440_671fdbb2.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057487_2f3e23a2.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057538_d18a0dbc.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057584_6a38391c.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057632_d0f9397d.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057680_459befbc.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057728_5b0c4bae.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057776_d1fad7bd.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057824_883fb3b1.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057872_ac78f17f.ndjson
2025-11-02T11:30:57-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057920_5f84913c.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143057969_f8d59221.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058016_92c4b92d.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058064_aee94f28.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058112_da1ea131.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058160_e5da20c2.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058208_a494cd99.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058256_23dd950d.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058304_bccdc1e2.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058352_c72c8abe.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058400_89762bc7.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058448_83b430b5.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058497_7c351a87.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058543_194a5c66.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058591_2d44983d.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058639_17b9b393.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058688_5dd27d52.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058735_4f25739e.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058784_30981983.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058832_8ba6dc97.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058880_2e73be81.ndjson
2025-11-02T11:30:58-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058928_61fc4b83.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143058977_f15979eb.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059024_0d83bc91.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059071_4b97f49d.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059119_87ca3da3.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059167_6791c11f.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059216_f32bfade.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059264_2e2097ae.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059312_29cfe189.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059360_bad01724.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059410_38e250eb.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059457_d7fb69ff.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059506_a5c40f7a.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059557_3095b7f1.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059607_10623c06.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059657_9dede0b3.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059705_8a85d667.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059755_4ce7ce49.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059806_52a0b3d3.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059859_7f22e4f9.ndjson
2025-11-02T11:30:59-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059908_ec54b362.ndjson
2025-11-02T11:31:00-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143059957_5b0b4856.ndjson
2025-11-02T11:31:00-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143100005_b7bf9891.ndjson
2025-11-02T11:31:00-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143100052_74f4de95.ndjson
2025-11-02T11:31:00-0300 | INFO | mensagens-consumer | Upload ok: users_20251102T143100100_12ccf8b3.ndjson
